n,Un,Kn
0,-4948.759763323499,1669.9538285790159
10,-4634.172895385619,1355.9552997520263
20,-4564.739962833276,1286.1909583840288
30,-4628.484705010097,1349.827666656025
40,-4573.7693746678615,1295.2735649342533
50,-4578.854253563373,1300.325830209039
60,-4541.08605380847,1262.6423593328777
70,-4571.6855680560275,1293.065460278574
80,-4575.129778424725,1296.5823369479742
90,-4549.906094767255,1271.3523577471517
100,-4544.270250914592,1265.782658619297
110,-4572.525377608081,1293.950437852714
120,-4556.874926919433,1278.433549535783
130,-4562.320678983894,1283.8187731594055
140,-4526.713118104735,1248.2774052837244
150,-4541.254637526763,1262.727336041729
160,-4558.238896347025,1279.716537146476
170,-4534.056604886276,1255.5704189393687
180,-4535.956165769642,1257.4823806413406
190,-4531.227834178601,1252.795160065216
200,-4514.110631215848,1235.6975729533474
210,-4526.648605925305,1248.1589337155538
220,-4520.583513178833,1242.0936925229312
230,-4510.750332516352,1232.2296822429496
240,-4513.453741281896,1234.9449061163864
250,-4534.835324997568,1256.331136051048
260,-4519.638518794368,1241.1175746332906
270,-4546.2469192266835,1267.6631436471152
280,-4535.58824978253,1257.1049727508287
290,-4518.287480077613,1239.8083444822623
300,-4512.525869387375,1234.0272536641937
310,-4521.635264568706,1243.1924651376826
320,-4506.825752763011,1228.3738167889521
330,-4511.110004899228,1232.6533721669211
340,-4553.638146253572,1275.1739858470542
350,-4532.03861194217,1253.6468097717343
360,-4539.628299235189,1261.2009338060602
370,-4557.75040194349,1279.2732491495215
380,-4522.250929459243,1243.742534040268
390,-4499.085915524947,1220.6954546327775
400,-4552.3094735912955,1273.7815744194659
410,-4526.050835533643,1247.5335909766063
420,-4517.591320927702,1239.1592195102135
430,-4512.769932553473,1234.3205986179664
440,-4511.048770099102,1232.5236382283297
450,-4519.253478999543,1240.7702919905141
460,-4543.008067596161,1264.4648232291224
470,-4513.828868895031,1235.5281759820846
480,-4507.753152154183,1229.3161861286853
490,-4513.764227286774,1235.2674716392573
