n,Un,Kn
0,-4513.764227286774,1494.6736406835016
10,-4475.579441794884,1456.7743271523443
20,-4418.762270995875,1399.9846564315235
30,-4434.177482327895,1415.166314106776
40,-4444.696896172487,1425.7399679351329
50,-4453.497564424937,1434.5074370498196
60,-4435.943702622454,1416.988536345283
70,-4432.825755499516,1413.8864863242002
80,-4439.348590552833,1420.3068273384447
90,-4386.831652325691,1367.9568684619014
100,-4456.423609685069,1437.3782513596075
110,-4442.938524973486,1424.0264971388435
120,-4456.8419083819235,1437.7569081331726
130,-4433.9581228389,1414.8983849281499
140,-4410.4725834075,1391.5533656259422
150,-4411.35296842547,1392.4047192834792
160,-4406.289279864779,1387.4298475261198
170,-4446.8484682499375,1427.9884406158951
180,-4457.009243700956,1438.1517402410534
190,-4434.371031760687,1415.5853936806147
200,-4444.037760333727,1425.1463311020373
210,-4445.760897702199,1426.8668121679764
220,-4446.454555770539,1427.5942964767514
230,-4445.003654770589,1426.1518208485204
240,-4456.483437596791,1437.5534404576192
250,-4422.400718332138,1403.4662316342278
260,-4420.514021711694,1401.626387149814
270,-4435.050849111206,1416.1306405691826
280,-4443.934184336778,1424.994152180097
290,-4464.228621063584,1445.229423085982
300,-4422.455899445508,1403.5405367817202
310,-4439.619699880374,1420.6820032280057
320,-4438.280286938781,1419.2710238820803
330,-4410.87588189749,1391.8749383460777
340,-4416.865168352413,1397.9813966071238
350,-4469.0034405883625,1449.8865959658933
360,-4400.525936689169,1381.720304041106
370,-4398.250065154292,1379.3655069139786
380,-4405.246321780236,1386.2677546837342
390,-4429.123569193206,1410.1747403586774
400,-4445.788623345145,1426.8544202200778
410,-4397.364056798283,1378.6262528343582
420,-4437.057313543209,1418.0347043615766
430,-4426.721723871239,1407.7894686158788
440,-4408.420124948447,1389.5954433252725
450,-4443.394513484622,1424.4876057704132
460,-4463.865158208228,1444.949894116983
470,-4429.763384318801,1410.9174012217281
480,-4432.023429032053,1413.0674749152145
490,-4435.977942636352,1417.0494607052783
